id,customer_email,expected_reply,generated_reply
1,I want to cancel my subscription immediately. I'm not happy with the service at all.,"We're sorry to hear you'd like to cancel, and we sincerely apologize for any inconvenience. Your satisfaction is our priority. Could you share what went wrong? We'd love the chance to make it right. If you'd still like to proceed, we'll cancel your account right away and ensure you're not billed further.","We're sorry to hear you're unhappy with our service — that's not the experience we want for you. We'd like to understand what went wrong and see if there's anything we can do to improve. If you're still interested in canceling, please let us know and we'll process it immediately. You can also cancel yourself by going to your account settings and clicking on 'Subscription' then 'Cancel Subscription'. We appreciate your feedback and will use it to make necessary improvements."
2,I haven't received my order yet. It's been 10 days since I placed it. This is unacceptable.,We sincerely apologize for the delay — that's definitely not the experience we want for you. We've checked your order and it appears there may have been a shipping delay. We're escalating this to our fulfillment team right now and will send you updated tracking information within 24 hours. Thank you for your patience.,"We're deeply sorry for the delay in receiving your order — 10 days is far beyond our expected delivery time. We're looking into this immediately and will contact the carrier to get an update on the status of your package. If the package cannot be located, we'll send a replacement or issue a full refund right away. We appreciate your patience and will have more information for you within a few hours."
3,Can I change my shipping address? I made a mistake when placing the order.,"Absolutely! We'd be happy to update your shipping address. If your order hasn't shipped yet, we can make the change right away. Please reply with your order number and the correct address, and we'll take care of it immediately.","We're so sorry to hear you entered the wrong shipping address — we're here to help fix that. To update your shipping address, please reply to this email with the correct address. Our team will do their best to make the change before the order ships. If the order has already shipped, we'll work with you to find a solution. Please let us know the order number for quicker assistance."
4,I was charged twice for the same order. Please fix this immediately.,We're very sorry about the double charge — that should never have happened. We've flagged your account for our billing team and a full refund for the duplicate charge will be processed within 3–5 business days. You'll receive a confirmation email once it's done. We apologize for the inconvenience.,"We're so sorry for this error — being charged twice is not the experience we want for you. Please share the order ID and the dates of the duplicate charges. Our billing team will investigate this immediately, confirm the error, and process a refund for the duplicate charge within 24 hours."
5,Your product broke after just two weeks. I want a replacement.,"We're so sorry to hear that — a product that breaks in two weeks is not acceptable, and we take full responsibility. We'd like to send you a replacement right away. Please share your order number and a brief description of the issue (a photo if possible), and we'll ship a new one at no cost to you.","We're sorry to hear that our product broke after just two weeks — that's not the quality experience we strive to provide. We'd be happy to replace it for you. Please contact our support team through the portal to initiate a replacement request. We'll need some details from you to expedite the process. Your replacement will be shipped as soon as possible, and we'll also look into the issue to prevent it from happening in the future."
6,I need a refund. The product is not as described on your website.,"We completely understand your frustration, and we're sorry the product didn't match what was advertised. You're entitled to a full refund. Please initiate a return through your account portal, and once we receive the item, your refund will be processed within 5–7 business days. We'll also look into updating the product description.","We're sorry to hear that the product didn't meet your expectations — we take full responsibility for any discrepancies in our product descriptions. We'd like to make it right. Please share your order number and a brief description of the issue, and we'll guide you through our refund process. We'll review the description on our website to ensure it accurately represents the product."
7,How do I reset my password? I can't log into my account.,"No worries — resetting your password is easy! Just go to our login page and click 'Forgot Password.' Enter the email address associated with your account, and we'll send you a reset link within a few minutes. If you don't see it, please check your spam folder. Let us know if you need further help!","We're here to help you get back into your account! To reset your password, simply click the 'Forgot Password' link on our login page, enter the email address associated with your account, and follow the prompts. If you're having trouble, please let us know your email address and we'll send you a password reset link directly."
8,I'd like to upgrade my plan. What are the options available?,"Great to hear you're ready to upgrade! We offer three plans: Starter, Professional, and Enterprise. The Professional plan includes advanced analytics, priority support, and up to 10 team members. The Enterprise plan is fully customizable. I can arrange a quick call to walk you through the best option for your needs — just let me know what works for you!",We're excited to hear you're looking to upgrade your plan. We offer several options to help you scale and get more out of our service. I'd be happy to walk you through the available plans and recommend the best fit based on your current needs and goals. Would you like me to outline the options and their corresponding features so you can make an informed decision?
9,I've been a loyal customer for 3 years and never got any discount. That's unfair.,Thank you so much for your loyalty over the past three years — it truly means a lot to us! You're absolutely right that long-term customers deserve recognition. We'd like to offer you a 20% discount on your next renewal as a token of our appreciation. We're also reviewing our loyalty program and will have more benefits to share soon.,We appreciate your loyalty over the past 3 years and thank you for sharing your concern. We're sorry to hear you feel you haven't received the recognition you deserve. We'd like to make it right. We're reviewing our loyalty program and would be happy to offer you a one-time courtesy discount on your next purchase. We'll be in touch within the next 48 hours with more details.
10,The app keeps crashing every time I try to open it on my iPhone.,"We're sorry the app has been crashing — that must be very frustrating. Could you let us know which iPhone model you're using and your iOS version? In the meantime, please try force-closing the app and reopening it, or uninstalling and reinstalling the latest version. Our team is actively investigating crash reports and we'll keep you updated.","We're sorry to hear the app is crashing on your iPhone — that's not the experience we want you to have. Our development team is currently investigating this issue and working on a fix. In the meantime, could you please try restarting your iPhone or reinstalling the app to see if that resolves the issue? We'll also send you an update as soon as a new version of the app is available."
