id,customer_email,expected_reply
1,"I want to cancel my subscription immediately. I'm not happy with the service at all.","We're sorry to hear you'd like to cancel, and we sincerely apologize for any inconvenience. Your satisfaction is our priority. Could you share what went wrong? We'd love the chance to make it right. If you'd still like to proceed, we'll cancel your account right away and ensure you're not billed further."
2,"I haven't received my order yet. It's been 10 days since I placed it. This is unacceptable.","We sincerely apologize for the delay — that's definitely not the experience we want for you. We've checked your order and it appears there may have been a shipping delay. We're escalating this to our fulfillment team right now and will send you updated tracking information within 24 hours. Thank you for your patience."
3,"Can I change my shipping address? I made a mistake when placing the order.","Absolutely! We'd be happy to update your shipping address. If your order hasn't shipped yet, we can make the change right away. Please reply with your order number and the correct address, and we'll take care of it immediately."
4,"I was charged twice for the same order. Please fix this immediately.","We're very sorry about the double charge — that should never have happened. We've flagged your account for our billing team and a full refund for the duplicate charge will be processed within 3–5 business days. You'll receive a confirmation email once it's done. We apologize for the inconvenience."
5,"Your product broke after just two weeks. I want a replacement.","We're so sorry to hear that — a product that breaks in two weeks is not acceptable, and we take full responsibility. We'd like to send you a replacement right away. Please share your order number and a brief description of the issue (a photo if possible), and we'll ship a new one at no cost to you."
6,"I need a refund. The product is not as described on your website.","We completely understand your frustration, and we're sorry the product didn't match what was advertised. You're entitled to a full refund. Please initiate a return through your account portal, and once we receive the item, your refund will be processed within 5–7 business days. We'll also look into updating the product description."
7,"How do I reset my password? I can't log into my account.","No worries — resetting your password is easy! Just go to our login page and click 'Forgot Password.' Enter the email address associated with your account, and we'll send you a reset link within a few minutes. If you don't see it, please check your spam folder. Let us know if you need further help!"
8,"I'd like to upgrade my plan. What are the options available?","Great to hear you're ready to upgrade! We offer three plans: Starter, Professional, and Enterprise. The Professional plan includes advanced analytics, priority support, and up to 10 team members. The Enterprise plan is fully customizable. I can arrange a quick call to walk you through the best option for your needs — just let me know what works for you!"
9,"I've been a loyal customer for 3 years and never got any discount. That's unfair.","Thank you so much for your loyalty over the past three years — it truly means a lot to us! You're absolutely right that long-term customers deserve recognition. We'd like to offer you a 20% discount on your next renewal as a token of our appreciation. We're also reviewing our loyalty program and will have more benefits to share soon."
10,"The app keeps crashing every time I try to open it on my iPhone.","We're sorry the app has been crashing — that must be very frustrating. Could you let us know which iPhone model you're using and your iOS version? In the meantime, please try force-closing the app and reopening it, or uninstalling and reinstalling the latest version. Our team is actively investigating crash reports and we'll keep you updated."
11,"I accidentally deleted my account. Can I recover it?","Oh no, we understand how stressful that must be! Depending on how recently it was deleted, we may be able to recover your account. Please send us the email address associated with the account and we'll check right away. Our team will do everything possible to restore your data."
12,"Do you offer a free trial? I want to try before I buy.","Yes, we do! You can start a 14-day free trial with no credit card required — full access to all features, no strings attached. Just sign up on our website and you'll be up and running in minutes. If you have any questions during your trial, our support team is always here to help!"
